0  29 ， 0.997111 
0  1095 １月 0.002889 
2022 ta3-la1-er3 2091 塔拉尔 1.000000 
2023 chu1-ren4 2092 出任 1.000000 
2024 ba1-ji1-si1-tan3 2093 巴基斯坦 1.000000 
2025 yi1-si1-lan2-bao3 2094 伊斯兰堡 1.000000 
2026 wang2-nan2 2095 王南 1.000000 
2027 mu4-si1-lin2 2096 穆斯林 1.000000 
2028 lian2-meng2 2097 联盟 1.000000 
2029 xie4-li3-fu1-pai4 2098 谢里夫派 1.000000 
2030 hou4-xvan3-ren2 2099 候选人 1.000000 
2031 zui4-gao1-fa3-yvan4 2100 最高法院 1.000000 
2032 da4-fa3-guan1 2101 大法官 1.000000 
2033 mu4-han3-mo4-de2-pn4-la1-fei3-ke4-pn4-ta3-la1-er3 2102 穆罕默德·拉斐克·塔拉尔 1.000000 
2034 yi4-hui4 2104 议会 1.000000 
2035 can1-yi4-yvan4 2105 参议院 1.000000 
2036 xvan3-jv3 2106 选举 1.000000 
2037 dang1-xvan3 2107 当选 1.000000 
2038 di4-jiu3 2108 第九 1.000000 
2039 ren4 2109 任 1.000000 
2040 ren4-qi1 2110 任期 1.000000 
2041 wu3-nian2 2111 ５年 1.000000 
2042 xvan1-shi4 2112 宣誓 1.000000 
2043 jiu4-zhi2 2113 就职 1.000000 
2044 gong4-ji4 2114 共计 1.000000 
2045 si4-wu3-qi1 2115 ４５７ 1.000000 
2046 you3-xiao4 2116 有效 1.000000 
2047 xvan3-piao4 2117 选票 1.000000 
2048 san1-qi1-si4 2118 ３７４ 1.000000 
2049 jve2-dui4 2119 绝对 1.000000 
2050 you1-shi4 2120 优势 1.000000 
2051 huo4-sheng4 2121 获胜 1.000000 
2052 yi1-jiu3-er4-jiu3-nian2 2122 １９２９年 1.000000 
2053 chu1-sheng1 2123 出生 1.000000 
2054 pang2-zhe1-pu3-sheng3 2124 旁遮普省 1.000000 
2055 yi1-jiu3-wu3-yi1-nian2 2125 １９５１年 1.000000 
2056 bi4-ye4 2126 毕业 1.000000 
2057 pang2-zhe1-pu3 2127 旁遮普 1.000000 
2058 fa3-xve2-yvan4 2128 法学院 1.000000 
2059 yi1-jiu3-qi1-si4-nian2 2129 １９７４年 1.000000 
2060 gong4-zhi2 2130 供职 1.000000 
2061 la1-he2-er3 2131 拉合尔 1.000000 
2062 gao1-deng3 2132 高等 1.000000 
2063 fa3-yvan4 2133 法院 1.000000 
2064 yi1-jiu3-ba1-ling2-nian2 2134 １９８０年 1.000000 
2065 cheng2-yvan2 2135 成员 1.000000 
2066 yi1-jiu3-ba1-jiu3-nian2 2136 １９８９年 1.000000 
2067 yi1-san1-ri4 2137 １３日 1.000000 
2068 shou3-xi2 2138 首席 1.000000 
2069 yi1-ling2-yve4 2139 １０月 1.000000 
2070 san1-yve4 2140 ３月 1.000000 
2071 yi4-yvan2 2141 议员 1.000000 
2072 tong2-nian2 2142 同年 0.500000 
2072 tong2-nian2 3398 童年 0.500000 
2073 yi1-wu3-ri4 2143 １５日 1.000000 
2074 zhi2-zheng4-dang3 2144 执政党 1.000000 
2075 xie4-pai4 2145 谢派 1.000000 
2076 ti2-ming2 2146 提名 1.000000 
2077 wai4-zhang3 2147 外长 1.000000 
2078 ping2-jia4 2148 评价 1.000000 
2079 jian4-jiao1 2149 建交 1.000000 
2080 yve1-han4-nei4-si1-bao3 2150 约翰内斯堡 1.000000 
2081 wen1-xian4 2151 温宪 1.000000 
2082 liu2-ye3-gang1 2152 刘也刚 1.000000 
2083 zhao4-yi4 2153 赵毅 1.000000 
2084 shang4-xv4-qian1 2154 尚绪谦 1.000000 
2085 jian1 2155 兼 0.687500 
2085 jian1 2578 间 0.250000 
2085 jian1 6239 肩 0.062500 
2086 wai4-jiao1-bu4-zhang3 2156 外交部长 1.000000 
2087 qian2-qi2-chen1 2157 钱其琛 1.000000 
2088 nan2-fei1 2158 南非 1.000000 
2089 en1-zuo3 2159 恩佐 1.000000 
2090 wang2-xve2-xian2 2161 王学贤 1.000000 
2091 chan3-shu4 2162 阐述 1.000000 
2092 li4-chang3 2163 立场 1.000000 
2093 guan1-xi4-shi3 2164 关系史 1.000000 
2094 biao1-zhi4 2165 标志 1.000000 
2095 xin1-pian1-zhang1 2166 新篇章 1.000000 
2096 yi2-yang4 2167 一样 1.000000 
2097 guan1-xi4-shi2-xian4 2168 关系实现 1.000000 
2098 zheng4-chang2-hua4 2169 正常化 1.000000 
2099 jie4-ci3-ji1-hui4 2170 借此机会 1.000000 
2100 you3-yi4 2171 友谊 0.750000 
2100 you3-yi4 4747 有益 0.250000 
2101 jin4-cheng2 2172 进程 1.000000 
2102 ren2-shi4 2173 人士 0.928571 
2102 ren2-shi4 2922 人事 0.071429 
2103 xie4-yi4 2174 谢意 1.000000 
2104 jiao1-wang3 2175 交往 1.000000 
2105 zhui1-su4 2176 追溯 1.000000 
2106 shu4 2177 数 0.571429 
2106 shu4 5359 树 0.285714 
2106 shu4 6990 束 0.142857 
2107 hua2-ren2 2178 华人 1.000000 
2108 lao2-gong1 2179 劳工 1.000000 
2109 yvan3-she4-chong2-yang2 2180 远涉重洋 1.000000 
2110 cheng2-li4 2181 成立 1.000000 
2111 shi3-zhong1 2182 始终 1.000000 
2112 tong2-qing2 2183 同情 1.000000 
2113 zhi1-chi2 2184 支持 1.000000 
2114 zhong3-zu2 2185 种族 1.000000 
2115 ping2-deng3 2186 平等 1.000000 
2116 jie3-fang4 2187 解放 1.000000 
2117 dou4-zheng1 2188 斗争 1.000000 
2118 sheng1-yvan2 2189 声援 1.000000 
2119 ge2-li2 2190 隔离 1.000000 
2120 zheng4-yi4 2191 正义 1.000000 
2121 dan4-sheng1 2192 诞生 1.000000 
2122 huan1-xin1-gu3-wu3 2193 欢欣鼓舞 1.000000 
2123 pin2-fan2 2194 频繁 1.000000 
2124 hen3-kuai4 2195 很快 1.000000 
2125 zhan3-xian4 2196 展现 1.000000 
2126 shuang1-bian1 2197 双边 1.000000 
2127 qian2-li4 2198 潜力 1.000000 
2128 ge4-you3-suo3-chang2 2199 各有所长 1.000000 
2129 you3-zhe5 2201 有着 1.000000 
2130 hu4-bu3-xing4 2202 互补性 1.000000 
2131 mao4-yi4 2203 贸易 1.000000 
2132 xvn4-su4 2204 迅速 1.000000 
2133 mao4-yi4-e2 2205 贸易额 1.000000 
2134 yi1-jiu3-jiu3-yi1-nian2 2206 １９９１年 1.000000 
2135 zhi3 2207 只 0.761905 
2135 zhi3 6320 指 0.095238 
2135 zhi3 7879 纸 0.142857 
2136 yi1-si4-ling2-ling2 2208 １４００ 1.000000 
2137 jv4-zeng1 2209 剧增 1.000000 
2138 yi1-san1-si4-yi4 2210 １３·４亿 1.000000 
2139 ze2 2211 则 1.000000 
2140 ke3-wang4 2212 可望 1.000000 
2141 yi1-liu4-yi4 2213 １６亿 1.000000 
2142 tou2-zi1 2214 投资 1.000000 
2143 qiang2-jing4 2215 强劲 1.000000 
2144 shu4-shi2 2216 数十 1.000000 
2145 du2-zi1 2217 独资 1.000000 
2146 he2-zi1-qi3-ye4 2218 合资企业 1.000000 
2147 bei3-fang1 2219 北方 1.000000 
2148 ge4-tie3-kuang4 2220 铬铁矿 1.000000 
2149 duan3-shi2-jian1 2221 短时间 1.000000 
2150 yvn4-zuo4 2222 运作 1.000000 
2151 qi1-ling2-ling2-ling2 2224 ７０００ 1.000000 
2152 mu4-guang1 2225 目光 1.000000 
2153 miao2-zhun3 2226 瞄准 1.000000 
2154 hang2-kong1 2227 航空 1.000000 
2155 li3-you2 2228 理由 1.000000 
2156 yve4-lai2-yve4 2229 越来越 1.000000 
2157 he2-zuo4-huo3-ban4 2230 合作伙伴 1.000000 
2158 shu3 2177 数 0.428571 
2158 shu3 2231 属 0.571429 
2159 ya4-zhou1 2232 亚洲 1.000000 
2160 gong4-tong2-yv3-yan2 2233 共同语言 1.000000 
2161 shi4-wu4 2234 事务 1.000000 
2162 cuo1-shang1 2235 磋商 1.000000 
2163 qvan2-yi4 2236 权益 1.000000 
2164 nai3-zhi4 2237 乃至 1.000000 
2165 xia4-qv4 2238 下去 1.000000 
2166 hao2-wu2-dao4-li3 2239 毫无道理 1.000000 
2167 ru2-guo3 2240 如果 1.000000 
2168 chi2-chi2 2241 迟迟 1.000000 
2169 guo2-ji4-fa3 2242 国际法 1.000000 
2170 jve2-da4-duo1-shu4 2243 绝大多数 1.000000 
2171 zun1-cong2 2244 遵从 1.000000 
2172 guan4-li4 2245 惯例 1.000000 
2173 yi1-jiu3-qi1-yi1-nian2 2246 １９７１年 1.000000 
2174 he2-fa3 2247 合法 1.000000 
2175 jve2-ding4-xing4 2248 决定性 1.000000 
2176 bei4-dao4-er2-chi2 2249 背道而驰 1.000000 
2177 bu5 84 不 1.000000 
2178 zao3-yi3 2250 早已 1.000000 
2179 san1-ling2-ling2 2251 ３００ 1.000000 
2180 zi4-ran2 2252 自然 1.000000 
2181 lao2-gu4 2253 牢固 1.000000 
2182 da4-cheng2-du4 2254 大程度 1.000000 
2183 zao1-yv4 2255 遭遇 1.000000 
2184 guo5 1344 过 1.000000 
2185 zhi2-min2-zhu3-yi4 2256 殖民主义 1.000000 
2186 qi1-ling2 2257 欺凌 0.333333 
2186 qi1-ling2 7529 ７０ 0.666667 
2187 fei4-chu2 2258 废除 1.000000 
2188 yi3-qian2 2259 以前 1.000000 
2189 qiao2-min2 2260 侨民 1.000000 
2190 hei1-ren2 2261 黑人 1.000000 
2191 cui1-can2 2262 摧残 1.000000 
2192 wan2-qiang2 2263 顽强 1.000000 
2193 cai3-hong2 2264 彩虹 1.000000 
2194 duo1-yang4-xing4 2265 多样性 1.000000 
2195 yi1-jiu3-si4-jiu3-nian2 2266 １９４９年 1.000000 
2196 ben3-guo2 2267 本国 1.000000 
2197 bai3-fei4-dai4-xing1 2268 百废待兴 1.000000 
2198 zhi2-min2 2269 殖民 1.000000 
2199 tong3-zhi4 2270 统治 1.000000 
2200 ji3-yv3 2271 给予 1.000000 
2201 dao4-yi4 2272 道义 1.000000 
2202 wu2-si1 2273 无私 1.000000 
2203 yvan2-zhu4 2274 援助 1.000000 
2204 jian1-ku3 2275 艰苦 1.000000 
2205 sui4-yve4 2276 岁月 1.000000 
2206 sun1-zhong1-shan1 2277 孙中山 1.000000 
2207 mao2-ze2-dong1 2278 毛泽东 1.000000 
2208 zhou1-en1-lai2 2279 周恩来 1.000000 
2209 bang3-yang4 2280 榜样 1.000000 
2210 qi3-fa1 2281 启发 1.000000 
2211 gu3-wu3 2282 鼓舞 1.000000 
2212 ru2-jin1 2283 如今 1.000000 
2213 bu4-dao4 2284 不到 1.000000 
2214 fei1-su4 2285 飞速 1.000000 
2215 qin1-pei4 2286 钦佩 1.000000 
2216 ying2-de2 2287 赢得 1.000000 
2217 ying1-you3 2288 应有 1.000000 
2218 shou4-dao4 2289 受到 1.000000 
2219 zun1-jing4 2290 尊敬 1.000000 
2220 wang4-ji4 2291 忘记 1.000000 
2221 di4-san1 2292 第三 1.000000 
2222 gan3-ji1 2293 感激 1.000000 
2223 ye4-yi3 2294 业已 1.000000 
2224 sui1-ran2 2295 虽然 1.000000 
2225 ri4-qi1 2296 日期 1.000000 
2226 zhi1-qian2 2297 之前 1.000000 
2227 chao1-guo4 2298 超过 1.000000 
2228 yi1-si4-yi4 2299 １４亿 1.000000 
2229 er4-zhe3 2300 二者 1.000000 
2230 di4-liu4 2302 第六 1.000000 
2231 yong1-you3 2303 拥有 1.000000 
2232 kan4-fa3 2304 看法 1.000000 
2233 bi3-ru2 2305 比如 1.000000 
2234 ren4-wei2 2306 认为 1.000000 
2235 ying1-gai1 2307 应该 1.000000 
2236 shi4-qiang2-ling2-ruo4 2308 恃强凌弱 1.000000 
2237 bao3-hu4 2309 保护 1.000000 
2238 bu4-jie2-meng2 2310 不结盟 1.000000 
2239 qi1-dai4 2311 期待 1.000000 
2240 lian2-he2 2312 联合 1.000000 
2241 bi3-lei1-tuo2-li4-ya4 2313 比勒陀利亚 1.000000 
2242 yin1-li4-qing1 2314 殷立青 1.000000 
2243 qian1-shu3 2315 签署 1.000000 
2244 lian2-he2-gong1-bao4 2316 联合公报 1.000000 
2245 gong4-tong2-ti3 2317 共同体 1.000000 
2246 zhu3-xi2-guo2 2318 主席国 1.000000 
2247 yvn4-dong4 2319 运动 1.000000 
2248 wu2-yi2 2320 无疑 1.000000 
2249 you3-zhu4-yv2 2321 有助于 1.000000 
2250 da4-shi3-ji2 2322 大使级 1.000000 
2251 fa1-zhan3-shi3 2323 发展史 1.000000 
2252 shi4-jian4 2324 事件 1.000000 
2253 hui4-tan2 2325 会谈 1.000000 
2254 guang3-fan4 2326 广泛 1.000000 
2255 zong3-ling3-shi4-guan3 2329 总领事馆 1.000000 
2256 huan4-wen2 2330 换文 1.000000 
2257 kai1-pu3-dun1 2331 开普敦 1.000000 
2258 de2-ban1 2332 德班 1.000000 
2259 she4-li4 2333 设立 1.000000 
2260 shou3-ren4 2334 首任 1.000000 
2261 da4-shi3 2335 大使 1.000000 
2262 tong2-yi4 2336 同意 1.000000 
2263 zhong1-fang1 2337 中方 1.000000 
2264 jv2-shi4 2338 局势 1.000000 
2265 guo4-du4 2339 过渡 1.000000 
2266 gui3-dao4 2340 轨道 1.000000 
2267 yvan3-fei1 2341 远非 1.000000 
2268 guo4-du4-qi1 2343 过渡期 1.000000 
2269 da3-xia4 2344 打下 1.000000 
2270 jv2-xian4 2345 局限 1.000000 
2271 hui2-gu4 2346 回顾 1.000000 
2272 guang3-kuo4 2347 广阔 1.000000 
2273 man4-de2-la1 2348 曼德拉 1.000000 
2274 ren4-ming4 2349 任命 1.000000 
2275 dai4-ke4-rui4 2350 戴克瑞 1.000000 
2276 zhu4-hua2 2351 驻华 1.000000 
2277 da2-cheng2 2352 达成 1.000000 
2278 liang4-jie3 2353 谅解 1.000000 
2279 guan1-fang1 2355 官方 1.000000 
2280 gu4-lv4-chong2-chong2 2356 顾虑重重 1.000000 
2281 mai4 2357 迈 1.000000 
2282 bu4-zi5 2358 步子 1.000000 
2283 cun2-zai4 2359 存在 1.000000 
2284 lai2-jiang3 2360 来讲 1.000000 
2285 cheng2-ren4 2361 承认 1.000000 
2286 ran2-hou4 2362 然后 1.000000 
2287 hai3-xia2 2363 海峡 1.000000 
2288 ting2-zhi3 2364 停止 1.000000 
2289 di2-dui4 2365 敌对 1.000000 
2290 zhuang4-tai4 2366 状态 1.000000 
2291 san1-tong1 2367 三通 1.000000 
2292 na4-me5 2368 那么 1.000000 
2293 bu4-ke3-bi4-mian3 2369 不可避免 1.000000 
2294 ji4 2370 既 0.400000 
2294 ji4 2806 绩 0.050000 
2294 ji4 3508 寄 0.300000 
2294 ji4 3696 季 0.050000 
2294 ji4 5449 记 0.050000 
2294 ji4 7564 继 0.050000 
2294 ji4 7727 计 0.100000 
2295 yi4-chu4 2371 益处 1.000000 
2296 meng2-you3 2372 盟友 1.000000 
2297 han4-wei4 2374 捍卫 1.000000 
2298 qvan2-ren2-lei4 2375 全人类 1.000000 
2299 tu1-ran2 2376 突然 1.000000 
2300 tai4-du5 2377 态度 1.000000 
2301 er2-shi4 2378 而是 1.000000 
2302 bi4-ran2 2379 必然 1.000000 
2303 jiu3-yvan3 2380 久远 1.000000 
2304 ren2-qvan2 2381 人权 1.000000 
2305 bo1-duo2 2382 剥夺 1.000000 
2306 ku3-nan4 2383 苦难 1.000000 
2307 suo3-yi3 2384 所以 1.000000 
2308 gan1-she4 2385 干涉 1.000000 
2309 bie2-guo2 2386 别国 1.000000 
2310 nei4-zheng4 2387 内政 1.000000 
2311 jiao1-tong1 2388 交通 1.000000 
2312 tong1-xvn4 2389 通讯 1.000000 
2313 ke3-guan1 2390 可观 1.000000 
2314 wai4-guo2 2391 外国 1.000000 
2315 zheng4-yao4 2392 政要 1.000000 
2316 hui2-shou3 2393 回首 1.000000 
2317 xia4-hua2 2394 下滑 1.000000 
2318 wu1 2395 乌 1.000000 
2319 ling2-huo2 2396 灵活 1.000000 
2320 mo4-si1-ke1 2397 莫斯科 1.000000 
2321 zhang1-tie3-zhu4 2398 张铁柱 1.000000 
2322 ye4-li4-qin1 2399 叶利钦 1.000000 
2323 he2-mu4 2400 和睦 1.000000 
2324 he2-jie3 2401 和解 1.000000 
2325 yi2-qie4 2402 一切 1.000000 
2326 mei2-ti3 2403 媒体 1.000000 
2327 hua2-po1 2404 滑坡 1.000000 
2328 you3-xian4 2405 有限 1.000000 
2329 bai3-tuo1 2406 摆脱 1.000000 
2330 ting2-zhi4 2407 停滞 1.000000 
2331 fu4-su1 2408 复苏 1.000000 
2332 cu4-shi3 2409 促使 1.000000 
2333 hui2-sheng1 2410 回升 0.666667 
2333 hui2-sheng1 5663 回声 0.333333 
2334 mai4-chu1 2411 迈出 1.000000 
2335 bu4-fa2 2412 步伐 0.800000 
2335 bu4-fa2 5396 不乏 0.200000 
2336 yvan2-zhuo1-hui4-yi4 2414 圆桌会议 1.000000 
2337 ji1-gou4 2416 机构 1.000000 
2338 dui4-hua4 2418 对话 1.000000 
2339 bai2-e2-luo2-si1 2419 白俄罗斯 1.000000 
2340 wu1-ke4-lan2 2420 乌克兰 1.000000 
2341 tan2-hua4 2421 谈话 1.000000 
2342 ti2-dao4 2422 提到 1.000000 
2343 mou3-xie1 2423 某些 1.000000 
2344 jin4-ru2-ren2-yi4 2424 尽如人意 1.000000 
2345 shen4-zhi4 2425 甚至 1.000000 
2346 shi1-wang4 2426 失望 1.000000 
2347 tong4-ku3 2427 痛苦 1.000000 
2348 bo1-en1 2429 波恩 1.000000 
2349 lv3-hong2 2430 吕鸿 1.000000 
2350 de2-guo2 2431 德国 1.000000 
2351 jin1-ke4-er3 2432 金克尔 1.000000 
2352 ci3-jian1 2433 此间 1.000000 
2353 xin1-wen2-jie4 2434 新闻界 1.000000 
2354 cheng1 2435 称 1.000000 
2355 mou2-qiu2 2436 谋求 1.000000 
2356 yan2-ge2 2437 严格 0.857143 
2356 yan2-ge2 3484 沿革 0.142857 
2357 an4 2438 按 0.846154 
2357 an4 7279 案 0.153846 
2358 biao1-zhun3 2439 标准 1.000000 
2359 qi3-dong4 2440 启动 1.000000 
2360 ou1-yvan2 2441 欧元 1.000000 
2361 wu3-yve4 2442 ５月 1.000000 
2362 jia1-ru4 2443 加入 1.000000 
2363 huo4-bi4 2444 货币 1.000000 
2364 shou3 2445 首 0.666667 
2364 shou3 4577 手 0.333333 
2365 qing1-chu5 2446 清楚 1.000000 
2366 zai4-nei4 2447 在内 1.000000 
2367 da4-duo1-shu4 2448 大多数 1.000000 
2368 a1-mu3-si1-te4-dan1 2449 阿姆斯特丹 1.000000 
2369 da4-sha4 2450 大厦 1.000000 
2370 huan4-ran2-yi4-xin1 2451 焕然一新 1.000000 
2371 bei3-yve1 2452 北约 1.000000 
2372 tian2-ping2 2453 填平 1.000000 
2373 hong2-gou1 2454 鸿沟 1.000000 
2374 li4-shi3-xing4 2455 历史性 1.000000 
2375 chuang4-jian4 2456 创建 1.000000 
2376 ge2-jv2 2457 格局 1.000000 
2377 dian4-ding4 2458 奠定 1.000000 
2378 cheng2-xian4 2459 呈现 1.000000 
2379 lun2-kuo4 2460 轮廓 1.000000 
2380 ji1-fu3 2461 基辅 1.000000 
2381 wu1-duo1-wen2-ke1 2462 乌多文科 1.000000 
2382 chui1-feng1-hui4 2463 吹风会 1.000000 
2383 fan1 2464 番 0.400000 
2383 fan1 2532 翻 0.600000 
2384 zhu3-yao4 2465 主要 1.000000 
2385 di4-qv1-xing4 2466 地区性 1.000000 
2386 xi4-lie4 2467 系列 1.000000 
2387 hei1-hai3 2468 黑海 1.000000 
2388 bo1-luo2-di4-hai3 2469 波罗的海 1.000000 
2389 xi1-fang1 2470 西方 1.000000 
2390 yi4-ti3-hua4 2471 一体化 1.000000 
2391 du2-zhe3 2472 读者 1.000000 
2392 nian2-zhong1 2473 年终 1.000000 
2393 zhe4-ci4 2474 这次 1.000000 
2394 zhuan1-jia1 2475 专家 1.000000 
2395 xve2-zhe3 2476 学者 1.000000 
2396 re4-qing2 2477 热情 1.000000 
2397 zhuan4-xie3 2478 撰写 1.000000 
2398 te4-dian3 2479 特点 1.000000 
2399 shu4-ping2 2480 述评 1.000000 
2400 xi1-na4 2481 吸纳 1.000000 
2401 gu3-yvan2-yang2 2482 谷源洋 1.000000 
2402 tan2-shi4-zhong1 2483 谈世中 1.000000 
2403 xiao1 2484 肖 0.200000 
2403 xiao1 5326 销 0.600000 
2403 xiao1 7780 箫 0.200000 
2404 lian4 2485 炼 1.000000 
2405 li3-chang2-jiu3 2486 李长久 1.000000 
2406 chen2-li2-gao1 2487 陈漓高 1.000000 
2407 zhen1-bing3-xi3 2488 甄炳禧 1.000000 
2408 yi2 742 一 1.000000 
2409 he2-fang1 2489 何方 1.000000 
2410 liao3 123 了 1.000000 
2411 bian4-hua4 2490 变化 1.000000 
2412 wen2 2491 文 0.666667 
2412 wen2 4128 闻 0.333333 
2413 duan4 2492 段 0.666667 
2413 duan4 6243 断 0.333333 
2414 dong1-ya4 2493 东亚 1.000000 
2415 lun4-shu4 2494 论述 1.000000 
2416 yin3-yong4 2495 引用 1.000000 
2417 chu1-chu4 2498 出处 1.000000 
2418 wen2-zhang1 2499 文章 1.000000 
2419 shan1-jie2 2500 删节 1.000000 
2420 dang4 653 当 1.000000 
2421 chu4 2501 处 1.000000 
2422 bu4-hao3 2502 不好 1.000000 
2423 zhi4-qian4 2503 致歉 1.000000 
2424 yi1-ran2 2504 依然 1.000000 
2425 yan2-jvn4 2505 严峻 1.000000 
2426 liu4-ling2-yi4 2506 ６０亿 1.000000 
2427 hua2-sheng4-dun4 2507 华盛顿 1.000000 
2428 gu3-li4-yvan2 2508 谷利源 1.000000 
2429 yan2-jiu1-suo3 2509 研究所 1.000000 
2430 suo3-zhang3 2510 所长 1.000000 
2431 wo4-na4-pn4-fu2-nuo4-si1 2511 沃纳·福诺斯 1.000000 
2432 chu1-sheng1-lv4 2512 出生率 1.000000 
2433 you3-suo3 2513 有所 1.000000 
2434 fu2-nuo4-si1 2514 福诺斯 1.000000 
2435 gai1-suo3 2515 该所 1.000000 
2436 nian2-du4 2516 年度 1.000000 
2437 shi2-shi1 2517 实施 1.000000 
2438 ji4-hua4-sheng1-yv4 2518 计划生育 1.000000 
2439 wan3-hun1 2519 晚婚 1.000000 
2440 jia1-shang5 2520 加上 1.000000 
2441 si3-wang2-lv4 2521 死亡率 1.000000 
2442 su4-du4 2522 速度 1.000000 
2443 yvan2-xian1 2523 原先 1.000000 
2444 yv4-liao4 2524 预料 1.000000 
2445 jin4-guan3-ru2-ci3 2525 尽管如此 1.000000 
2446 zong3-ren2-kou3 2526 总人口 1.000000 
2447 da4-yve1 2527 大约 1.000000 
2448 ba1-ling2 2528 ８０％ 0.666667 
2448 ba1-ling2 2758 ８０ 0.333333 
2449 jv1-zhu4 2529 居住 1.000000 
2450 qi1-si4 2530 ７４ 1.000000 
2451 san1-ling2-nian2 2531 ３０年 1.000000 
2452 yi4-fan1 2533 一番 1.000000 
2453 fang3-wen4 2534 访问 1.000000 
2454 gang3-kou3 2535 港口 1.000000 
2455 suo3-zai4 2536 所在 1.000000 
2456 kua1 2537 夸 1.000000 
2457 zu3 2538 祖 0.250000 
2457 zu3 3651 组 0.750000 
2458 lu3 2539 鲁 1.000000 
2459 na4-ta3-er3 2540 纳塔尔 1.000000 
2460 en1-gu3-ba1-ni2 2541 恩古巴尼 1.000000 
2461 na4 2542 纳 0.250000 
2461 na4 3032 那 0.750000 
2462 xin1-ren4 2543 新任 1.000000 
2463 fei1-guo2-da4 2544 非国大 1.000000 
2464 zu3-ma3 2545 祖马 1.000000 
2465 liu2-xia4 2546 留下 1.000000 
2466 shen1-ke4 2547 深刻 1.000000 
2467 yin4-xiang4 2548 印象 1.000000 
2468 mo2-shi4 2549 模式 1.000000 
2469 gong4-tong2-dian3 2550 共同点 1.000000 
2470 de2-ban1-gang3 2551 德班港 1.000000 
2471 she4-shi1 2552 设施 1.000000 
2472 yan2-hai3 2553 沿海 1.000000 
2473 hua4-gong1-deng3-ling3-yv4 2554 化工等领域 1.000000 
2474 huan1-ying2 2555 欢迎 1.000000 
2475 you1-jiu3 2556 悠久 1.000000 
2476 zhi4-jin1 2557 至今 1.000000 
2477 zu3-lu3 2558 祖鲁 1.000000 
2478 wang2-guo2 2559 王国 1.000000 
2479 feng1-su2 2560 风俗 1.000000 
2480 xi2-guan4 2561 习惯 1.000000 
2481 qi4-hou4 2562 气候 1.000000 
2482 du2-te4 2563 独特 1.000000 
2483 jing3-guan1 2564 景观 1.000000 
2484 gui4-sheng3 2565 贵省 1.000000 
2485 di4-li3 2566 地理 1.000000 
2486 wei4-zhi5 2567 位置 1.000000 
2487 gang3 2568 港 0.666667 
2487 gang3 4219 岗 0.333333 
2488 zhi1-yi1 2569 之一 1.000000 
2489 shang4-hai3-shi4 2570 上海市 1.000000 
2490 xian1-hou4 2571 先后 1.000000 
2491 jia1-dian4 2572 家电 1.000000 
2492 wu3-jin1 2573 五金 1.000000 
2493 tang2-ci2 2574 搪瓷 1.000000 
2494 wen2-jv4 2575 文具 1.000000 
2495 ming2-xian3 2576 明显 1.000000 
2496 xian4-you3 2577 现有 1.000000 
2497 geng4-wei2 2579 更为 1.000000 
2498 fa1-zhan3-qian2-jing3 2580 发展前景 1.000000 
2499 lao3-wo1 2581 老挝 1.000000 
2500 guo2-hui4 2582 国会 1.000000 
2501 he2-lu3-li4 2583 何鲁丽 1.000000 
2502 wan4-xiang4 2584 万象 1.000000 
2503 xiao1-xi5 2585 消息 1.000000 
2504 gong4-he2-guo2 2586 共和国 1.000000 
2505 zheng4-zhi4-jv2 2587 政治局 1.000000 
2506 sha1-man4-pn4-wei2-ya3-ji2 2588 沙曼·维雅吉 1.000000 
2507 er4-jiu3-ri4 2589 ２９日 1.000000 
2508 qvan2-guo2-zheng4-xie2 2590 全国政协 1.000000 
2509 hui4-zhang3 2591 会长 1.000000 
2510 ji2-qi2 2592 及其 0.600000 
2510 ji2-qi2 4843 极其 0.400000 
2511 shuai4-ling3 2593 率领 1.000000 
2512 he2-cai2-hui4 2594 和裁会 1.000000 
2513 dai4-biao3-tuan2 2595 代表团 1.000000 
2514 bin1-zhu3 2596 宾主 1.000000 
2515 sha1-man4 2597 沙曼 1.000000 
2516 you3-li4-yv2 2598 有利于 1.000000 
2517 ben3 2599 本 1.000000 
2518 shan1-shui3 2601 山水 1.000000 
2519 xiang1-lian2 2602 相连 1.000000 
2520 lin2-bang1 2603 邻邦 1.000000 
2521 xiang1-hu4 2604 相互 1.000000 
2522 bu4-jin3 2605 不仅 1.000000 
2523 er2-qie3 2606 而且 1.000000 
2524 ya4-tai4-di4-qv1 2607 亚太地区 1.000000 
2525 yao1-qing3 2608 邀请 1.000000 
2526 er4-wu3-ri4 2609 ２５日 1.000000 
2527 wei2-qi1 2611 为期 1.000000 
2528 ma3-li3-lan2-zhou1 2612 马里兰州 1.000000 
2529 gai4-ci2-bao3-zhen4 2613 盖茨堡镇 1.000000 
2530 jv3-ban4 2614 举办 1.000000 
2531 deng1-zhan3 2615 灯展 1.000000 
2532 jin4-ri4 2616 近日 1.000000 
2533 deng1-shi4 2617 灯饰 1.000000 
2534 ka3-tong1 2618 卡通 1.000000 
2535 ren2-wu4 2619 人物 1.000000 
2536 dong4-wu4 2620 动物 1.000000 
2537 zao4-xing2 2621 造型 1.000000 
2538 she4-zhi4 2622 设置 1.000000 
2539 chang2 715 场 0.166667 
2539 chang2 2623 长 0.416667 
2539 chang2 2948 常 0.416667 
2540 gong1-li3 2624 公里 1.000000 
2541 liang3-pang2 2625 两旁 1.000000 
2542 han2-leng3 2626 寒冷 1.000000 
